,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
5116,40,4,1,64,3,39.4,41.9,36.5,1,,1,0,32000,65000,Tennessee,South Region
5118,45,3,2,32,2,38.3,40.3,36.2,3,,1,0,54000,54000,Minnesota,Midwest Region
5120,40,4,1,34,3,40.5,43,37.7,3,,1,0,75000,135000,Texas,South Region
5123,50,4,2,62,3,39.3,42.2,36.1,2,,1,0,120000,200000,New Jersey,Northeast Region
5124,50,5,2,57,3,40.4,42.7,37.5,1,,1,0,333000,750000,Texas,South Region
5128,65,5,1,34,3,37.5,40.1,34.7,3,,0,0,250000,250000,Washington,West Region
5129,40,3,1,28,3,37.8,40,35.5,3,,0,0,48500,100000,Ohio,Midwest Region
5130,45,4,3,33,3,38,39.8,36,3,,1,0,120000,240000,California,West Region
5131,60,3,2,53,2,38.8,41.1,36.2,3,1,0,0,110000,173000,Colorado,West Region
5134,40,3,1,34,3,38.8,40.9,36.4,3,2,0,0,,,Washington,West Region
5137,48,3,1,48,3,37.6,39.7,34.9,3,2,0,0,43000,43000,California,West Region
5138,60,3,2,25,3,37.5,40.1,34.7,3,4,0,0,28000,28000,Washington,West Region
5139,53,3,1,39,3,37.8,39.6,35.9,3,,0,0,60000,60000,Wisconsin,Midwest Region
5140,40,3,2,65,1,38,40,35.6,3,,1,0,102238,102238,New Jersey,Northeast Region
5142,50,4,1,41,3,38.6,40.6,36.2,3,,1,0,250000,400000,California,West Region
5143,30,3,1,35,2,37.9,39.6,35.9,3,,1,0,0,0,California,West Region
5144,60,4,1,62,1,39.8,42.2,37.3,3,,1,0,300000,400000,North Carolina,South Region
5145,20,3,1,68,2,39.3,42.3,35.9,1,2,1,0,0,,Kansas,Midwest Region
5146,20,3,2,46,2,38.6,40.7,36.2,3,,1,0,7000,10000,Missouri,Midwest Region
5148,10,3,2,63,1,38.8,40.9,36.4,2,,1,0,40000,140000,Washington,West Region
5149,49,3,2,50,1,39.3,41.7,36.6,2,1,1,0,33500,62400,Oklahoma,South Region
5151,45,3,2,26,3,38,40.4,35.6,3,,1,0,118000,118000,Ohio,Midwest Region
5152,40,3,2,62,3,39.3,42.5,35.8,1,,0,0,20000,50000,Wisconsin,Midwest Region
5153,45,2,1,53,1,39.1,41,37.2,3,,0,0,39000,39000,Tennessee,South Region
5154,16,4,2,57,3,36.1,38.4,33.5,3,,1,0,2463,77000,Washington,West Region
5155,50,5,1,41,1,38.6,40.8,36.2,3,4,1,0,110000,110000,Tennessee,South Region
5156,50,4,2,47,2,38.7,40.9,36.4,3,,1,0,125000,235000,Florida,South Region
5157,45,2,1,32,3,39.7,41.4,37.7,3,,1,0,94500,160000,Colorado,West Region
5158,40,3,2,52,3,39.9,42.3,37.2,3,,1,0,88000,200000,Texas,South Region
5160,45,4,1,27,3,40,42.4,37.4,3,,1,1,100000,150000,Texas,South Region
5161,41,3,2,58,3,38.8,41.5,36.1,3,,1,0,,,South Carolina,South Region
5163,40,4,2,49,3,38.5,41.6,35,3,,1,0,95000,95000,New Jersey,Northeast Region
5164,50,4,1,32,3,38.6,41.8,34.8,3,,1,1,45000,70000,Kentucky,South Region
5165,65,4,1,45,3,40.2,43.5,36.4,3,4,1,0,330000,330000,Wyoming,West Region
5167,42,2,2,26,2,38.5,40.5,36.4,2,2,0,0,52000,75000,Ohio,Midwest Region
5168,35,4,2,22,3,40.4,42.7,37.5,3,2,0,0,5000,58000,Texas,South Region
5169,25,4,2,56,2,37.9,41.6,33.9,2,,1,0,15000,72000,Illinois,Midwest Region
5171,40,2,1,33,3,36.6,39.7,33.2,3,,0,0,35000,80000,Ohio,Midwest Region
5172,46,4,2,54,3,38.3,40.9,35.5,3,,1,0,136000,272000,Wisconsin,Midwest Region
5175,38,3,2,42,3,38.5,40.9,35.9,2,,1,0,50000,80000,Missouri,Midwest Region
5176,55,2,1,24,3,36.6,39.7,33.2,3,,0,0,36000,72000,Ohio,Midwest Region
5178,40,5,1,23,3,38.3,40.4,36,3,,0,0,52000,52000,Tennessee,South Region
5179,40,5,2,40,3,37.9,39.6,35.9,3,,1,,,,California,West Region
